Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
311;D;AISHA;32;0,47
311;H;BRUC;32;0,47
311;D;DANIELLA;32;0,47
311;D;EMILY;32;0,47
311;H;IYAD;32;0,47
311;D;LENA;32;0,47
311;H;MAURO;32;0,47
311;D;YAIZA;32;0,47
319;D;ISRAE;31;0,45
319;H;JESÚS;31;0,45
319;H;RAMON/RAMÓN;31;0,45
319;D;YANIRA;31;0,45
323;H;ABRAHAM;30;0,44
323;H;ALBERTO;30;0,44
323;D;DANA;30;0,44
323;H;DANI;30;0,44
323;H;DANTE;30;0,44
323;H;EDUARD;30;0,44
323;H;HARON;30;0,44
323;H;OLEGUER;30;0,44
323;H;YAHYA;30;0,44
332;D;AICHA;29;0,42
332;H;ALI/ALÍ;29;0,42
332;H;ANDRÉS;29;0,42
332;H;FRANCESC;29;0,42
332;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;29;0,42
332;H;SAAD;29;0,42
338;D;AURORA;28;0,41
338;D;BASMA;28;0,41
338;H;CARLES;28;0,41
338;D;CAROLINA;28;0,41
338;D;CORAL;28;0,41
338;H;EIDAN;28;0,41
338;H;GIL;28;0,41
338;D;HIDAYA;28;0,41
338;H;IAGO;28;0,41
338;H;MARK;28;0,41
338;H;RAFAEL;28;0,41
338;D;SARAY;28;0,41
338;D;TANIT;28;0,41
338;D;VIOLETA;28;0,41
352;D;AMÈLIA/AMELIA;27;0,39
352;D;BIANCA;27;0,39
352;D;ELISA;27;0,39
352;D;ERIKA;27;0,39
352;D;ISRAA;27;0,39
352;H;JORGE;27;0,39
352;D;JULIETA;27;0,39
352;D;SAMIRA;27;0,39
352;H;SIRAJ;27;0,39
361;H;AHMED;26;0,38
361;H;ALEXIS;26;0,38
361;D;AMAIA;26;0,38
361;H;ARTUR;26;0,38
361;D;CAMILA;26;0,38
361;D;DÚNIA/DUNIA;26;0,38
361;H;GUERAU;26;0,38
361;D;ISABEL;26;0,38
361;D;JUNE;26;0,38
361;D;KAWTAR;26;0,38
361;D;LEA;26;0,38
361;D;LÍDIA/LIDIA;26;0,38
361;D;NAYRA;26;0,38
361;H;OTGER;26;0,38
361;H;ROI;26;0,38
361;D;SARAH;26;0,38
377;H;EDUARDO;25;0,36
377;H;ERICK;25;0,36
377;H;FÈLIX/FÉLIX;25;0,36
377;D;GEORGINA;25;0,36
377;H;IGNACIO;25;0,36
377;D;LAILA;25;0,36
377;H;LLUÍS;25;0,36
377;D;SÒNIA/SONIA;25;0,36
377;H;URIEL;25;0,36
377;H;YOUNES;25;0,36
377;D;ÀRIA/ARIA;25;0,36
388;H;AIMAR;24;0,35
388;D;DAFNE;24;0,35
388;H;DENÍS/DENIS;24;0,35
388;H;EDER;24;0,35
388;H;ENRIQUE;24;0,35
388;H;EVAN;24;0,35
388;H;GONZALO;24;0,35
388;D;INAS;24;0,35
388;D;IRATI;24;0,35
388;H;IU/ÏU;24;0,35
388;D;JANNA;24;0,35
388;H;LUKAS;24;0,35
388;H;NAEL;24;0,35
388;H;NEL;24;0,35
388;H;TIAGO;24;0,35
388;H;ZAKARIA;24;0,35
388;D;ÍNDIA;24;0,35
405;H;ANWAR;23;0,34
405;D;ARIANA;23;0,34
405;D;ASHLEY;23;0,34
405;D;DÀNAE/DÁNAE/DANAE;23;0,34
405;D;GEMMA;23;0,34
405;H;GUIFRÉ;23;0,34
405;H;HAROUN;23;0,34
405;D;IMAN;23;0,34
405;H;ISMAÏL/ISMAÍL;23;0,34
405;D;ITZIAR;23;0,34
405;H;JOAQUÍN;23;0,34
405;H;JUAN JOSÉ;23;0,34
405;D;MERITXELL;23;0,34
405;D;NAOMI;23;0,34
405;D;NARA;23;0,34
405;D;NOEMÍ/NOEMI;23;0,34
405;D;ROSA;23;0,34
405;D;SANDRA;23;0,34
405;H;YASSER;23;0,34
405;D;YOUSRA;23;0,34
405;H;ZIYAD;23;0,34
426;D;AMAL;22;0,32
426;H;BRAIS;22;0,32
426;D;EDURNE;22;0,32
426;D;FATOUMATA;22;0,32
426;H;FERNANDO;22;0,32
426;D;HIBA;22;0,32
426;D;LLUNA;22;0,32
426;H;MOHAMMED;22;0,32
426;H;SEBASTIAN/SEBASTIÁN;22;0,32
426;D;TÀNIA/TANIA;22;0,32
426;D;ZAINAB;22;0,32
437;D;AMINATA;21;0,31
437;H;GORKA;21;0,31
437;H;JAD;21;0,31
437;D;JIMENA;21;0,31
437;H;JOAQUIM;21;0,31
437;H;JOSÉ ANTONIO;21;0,31
437;H;LEÓN;21;0,31
437;H;MAHER;21;0,31
437;H;MATEU;21;0,31
437;D;NEUS;21;0,31
437;D;PAOLA;21;0,31
437;H;RICARD;21;0,31
437;D;SORAYA;21;0,31
437;D;SÍLVIA/SILVIA;21;0,31
437;D;TASNIM;21;0,31
452;H;ADÁN;20;0,29
452;H;ALEXANDRE;20;0,29
452;D;ALINA;20;0,29
452;D;AMANDA;20;0,29
452;D;ARWA;20;0,29
452;D;BLAU;20;0,29
452;H;CHRISTIAN;20;0,29
452;D;ERIN;20;0,29
452;H;EUDALD;20;0,29
452;D;FÀTIMA ZAHRA/FÁTIMA ZAHRA;20;0,29
452;D;IONA;20;0,29
452;D;LIS;20;0,29
452;D;MEL;20;0,29
452;D;MONTSERRAT;20;0,29
466;D;ABRAR;19;0,28
466;D;ARYA;19;0,28
466;D;DÀLIA/DALIA;19;0,28
466;D;ELISABETH;19;0,28
466;D;ESTELA;19;0,28
466;D;IRUNE;19;0,28
466;H;ISHAK;19;0,28
466;H;LORENZO;19;0,28
466;H;MATTEO;19;0,28
466;D;MICHELLE;19;0,28
466;H;MÀXIM;19;0,28
466;H;NACHO;19;0,28
466;D;NEKANE;19;0,28
466;D;TXELL;19;0,28
466;H;YASSIR;19;0,28
466;D;ÀLEX/ÁLEX;19;0,28
482;D;ALAE;18;0,26
482;H;ARON/ARÓN;18;0,26
482;D;AVRIL;18;0,26
482;D;BET;18;0,26
482;H;BRIAN;18;0,26
482;D;DUNA;18;0,26
482;D;FARAH;18;0,26
482;D;GIULIA;18;0,26
482;H;IGNASI;18;0,26
482;H;JOSÉ MARIA/JOSÉ MARÍA;18;0,26
482;D;KIARA;18;0,26
482;D;LILA;18;0,26
482;D;MEGAN;18;0,26
482;D;NAGORE;18;0,26
482;D;NAIRA;18;0,26
482;H;RAI;18;0,26
482;H;ROBERT;18;0,26
482;D;SAFAE;18;0,26
482;H;SAM;18;0,26
482;H;TRISTAN/TRISTÁN;18;0,26
482;D;ÈNIA/ENIA;18;0,26
